Name,Team,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,WAR,OPS+,PA_scaled,Num,BIP%,PutAway%,HR_scaled,R_scaled,RBI_scaled,Num_Ordi,Team_Ordi,CPBL
Aaron Judge,NYY,18.3,23.599999999999998,0.357,0.376,0.331,0.457,0.688,0.463,204.0,-4.2,79.4,10.1,196.35216709844264,4.191358024691358,,66.9977715734466,47.23541584306139,46.833578792341676,121.06038291605302,100.73637702503682,46.0,20.0,0
Cal Raleigh,SEA,13.8,26.700000000000003,0.34199999999999997,0.248,0.247,0.359,0.589,0.392,161.0,-2.7,48.0,9.1,143.92389118969805,4.351851851851852,,58.83955718219414,48.134189704161514,51.06382978723404,93.61702127659575,106.38297872340425,0.0,25.0,0
Bobby Witt Jr.,KCR,7.1,18.2,0.205,0.334,0.295,0.351,0.501,0.36,130.0,7.4,31.5,8.0,121.33068712447735,4.2407407407407405,,68.6057924468546,39.073390138342425,20.087336244541486,86.46288209606988,76.85589519650655,3.0,13.0,0
Shohei Ohtani,LAD,15.0,25.7,0.3400000000000001,0.315,0.282,0.392,0.622,0.418,172.0,3.7,66.0,7.5,161.50114765866297,4.487654320987654,,58.40956154301431,44.41604272632579,45.39202200825309,120.4951856946355,84.18156808803302,56.0,15.0,0
Geraldo Perdomo,ARI,13.100000000000001,11.5,0.173,0.303,0.29,0.389,0.462,0.37,138.0,3.8,36.2,7.1,123.92656520054186,4.444444444444445,,80.57480421268026,30.499658919777197,16.666666666666668,81.66666666666667,83.33333333333333,58.0,1.0,0
Trea Turner,PHI,6.7,16.7,0.153,0.35,0.304,0.355,0.457,0.352,125.0,7.999999999999999,26.8,6.7,112.46203307706897,3.9444444444444446,,71.40361910668453,31.557185338769678,14.084507042253522,88.26291079812206,64.78873239436619,51.0,22.0,0
Corbin Carroll,ARI,10.4,23.799999999999997,0.282,0.299,0.259,0.343,0.541,0.371,139.0,10.3,40.0,6.5,128.0687646301931,3.962962962962963,,65.32478667272554,43.34864757267627,28.97196261682243,100.0,78.50467289719626,3.0,1.0,0
Jos矇 Ram穩rez,CLE,9.8,11.0,0.219,0.279,0.283,0.36,0.503,0.36,133.0,7.300000000000001,33.8,6.3,124.52042988237544,4.148148148148148,,80.47264938740825,27.071386955798367,26.785714285714285,91.96428571428571,75.89285714285714,58.0,9.0,0
Francisco Lindor,NYM,8.9,17.9,0.199,0.288,0.267,0.346,0.466,0.35,129.0,2.7,27.6,6.3,111.7929473291733,4.518518518518518,,67.55551081448081,34.2434462434553,25.40983606557377,95.90163934426229,70.49180327868852,3.0,19.0,0
Fernando Tatis Jr.,SDP,12.9,18.7,0.178,0.303,0.268,0.368,0.446,0.353,131.0,5.7,31.4,6.1,113.88679154301977,4.265432098765432,,68.15654135044784,37.26240587407854,21.70767004341534,96.38205499276411,61.64978292329957,46.0,24.0,0
Juan Soto,NYM,17.8,19.2,0.262,0.27,0.263,0.396,0.525,0.39,156.0,2.7,50.1,5.8,140.48750983578879,4.41358024691358,,71.10368543051968,37.09288765506363,36.08391608391609,100.6993006993007,88.1118881118881,46.0,19.0,0
Julio Rodr穩guez,SEA,6.2,21.4,0.207,0.302,0.267,0.324,0.474,0.341,126.0,3.8999999999999995,25.6,5.7,106.9492954680515,4.382716049382716,,64.16753133759988,42.371647915138,27.04225352112676,89.5774647887324,80.28169014084507,3.0,25.0,0
Jeremy Pe簽a,HOU,6.4,17.1,0.172,0.345,0.304,0.363,0.477,0.363,135.0,4.3,26.8,5.7,119.47299380772974,3.3518518518518516,,73.34305912864053,32.676482913785286,18.784530386740332,75.13812154696133,68.50828729281768,45.0,12.0,0
Maikel Garcia,KCR,9.3,12.6,0.163,0.308,0.286,0.351,0.449,0.347,121.0,1.1,17.2,5.7,109.41485398628447,4.111111111111111,,80.81421962421898,23.286068398027652,14.414414414414416,72.97297297297297,66.66666666666667,58.0,13.0,0
Pete Crow-Armstrong,CHC,4.5,24.0,0.234,0.276,0.247,0.287,0.481,0.323,109.0,6.7,13.5,5.4,97.32409049740318,3.993827160493827,,63.90279969938754,43.25705146618381,28.74806800618238,84.38948995363215,88.09891808346214,52.0,6.0,0
George Springer,TOR,11.799999999999999,18.9,0.251,0.34,0.309,0.399,0.56,0.408,166.0,2.7,48.4,5.2,149.4182626347924,3.617283950617284,,70.00331129872596,37.21362075986856,32.76450511945392,108.53242320819113,86.00682593856655,45.0,30.0,0
Byron Buxton,MIN,7.6,27.3,0.287,0.302,0.264,0.327,0.551,0.367,136.0,8.5,31.8,5.0,125.50437503251865,3.345679012345679,,61.941744071494625,47.534159729625976,38.745387453874535,107.380073800738,91.88191881918819,0.0,18.0,0
Kyle Schwarber,PHI,14.899999999999999,27.200000000000003,0.323,0.253,0.24,0.365,0.563,0.391,152.0,-1.0,43.7,4.9,139.786935609503,4.469135802469136,,62.02961357316023,48.57215767429183,46.408839779005525,91.98895027624309,109.39226519337016,0.0,22.0,0
Cody Bellinger,NYY,8.7,13.700000000000001,0.207,0.274,0.272,0.334,0.48,0.347,125.0,0.9000000000000001,20.2,4.9,111.35913427319157,4.049382716049383,,73.37670840071472,28.108874548845293,26.524390243902438,81.40243902439025,89.63414634146342,58.0,20.0,0
Nico Hoerner,CHC,6.0,7.6,0.097,0.313,0.297,0.345,0.394,0.324,109.0,4.6,11.8,4.8,94.99060794737133,4.006172839506172,,76.81501107547206,14.604895201541876,6.471494607087829,82.2804314329738,56.3944530046225,1.0,6.0,0
Gunnar Henderson,BAL,9.5,21.0,0.165,0.329,0.274,0.349,0.438,0.339,120.0,7.300000000000001,22.5,4.8,106.2872099799817,4.018518518518518,,65.31548907710379,40.705269940527145,15.668202764976959,78.3410138248848,62.672811059907836,51.0,4.0,0
Matt Olson,ATL,12.6,24.3,0.212,0.333,0.272,0.366,0.484,0.366,136.0,-4.8,26.1,4.7,121.98752876309102,4.469135802469136,,62.93606883795484,48.58554082533562,24.03314917127072,81.21546961325967,78.7292817679558,46.0,3.0,0
Alejandro Kirk,TOR,9.5,11.700000000000001,0.14,0.292,0.282,0.348,0.421,0.334,116.0,-5.8,3.4000000000000004,4.6,102.08815564819145,3.123456790123457,,77.51914586742768,23.309341221912405,17.786561264822133,53.359683794466406,90.11857707509881,11.0,30.0,0
Ketel Marte,ARI,11.5,14.899999999999999,0.233,0.29,0.283,0.376,0.517,0.381,145.0,-3.4,26.5,4.6,132.58443477460045,3.432098765432099,,75.65316232980935,31.981339654308698,30.215827338129497,93.88489208633094,77.6978417266187,3.0,1.0,0
Junior Caminero,TBR,6.3,19.1,0.271,0.26,0.264,0.311,0.535,0.357,129.0,0.0,22.6,4.6,116.98206886574773,4.030864197530864,,67.58094156089643,38.35373698548817,41.347626339969366,85.45176110260337,101.07197549770291,3.0,28.0,0
Kyle Tucker,CHC,14.6,14.7,0.198,0.282,0.266,0.377,0.464,0.363,136.0,3.8,29.2,4.5,120.74294449728482,3.685185185185185,,74.91922369638414,30.124717832560574,22.110552763819097,91.4572864321608,73.36683417085428,46.0,6.0,0
Brice Turang,MIL,10.0,22.8,0.147,0.356,0.288,0.359,0.435,0.346,124.0,2.7,21.1,4.4,108.63469304966524,4.067901234567901,,60.85295225028326,44.238969176201884,16.38846737481032,88.31562974203338,73.74810318664643,7.0,17.0,0
Jazz Chisholm Jr.,NYY,10.9,27.900000000000002,0.238,0.282,0.242,0.332,0.481,0.349,126.0,3.0,19.3,4.4,110.98129791416405,3.2777777777777777,,61.03526356239604,50.455036912593485,35.02824858757062,84.7457627118644,90.3954802259887,46.0,20.0,0
Elly De La Cruz,CIN,9.6,25.900000000000002,0.176,0.337,0.264,0.336,0.44,0.333,108.0,9.4,16.4,4.3,102.80009577857444,4.314814814814815,,59.93305110561276,47.53497044370056,18.88412017167382,87.55364806866953,73.81974248927038,3.0,8.0,0
Wyatt Langford,TEX,12.9,26.400000000000002,0.19,0.299,0.241,0.344,0.431,0.337,118.0,1.6000000000000003,13.9,4.1,103.16568802831986,3.537037037037037,,57.44738576109019,41.115692536769345,23.036649214659686,76.43979057591623,64.92146596858639,46.0,29.0,0
Andy Pages,LAD,4.6,21.6,0.189,0.308,0.272,0.313,0.461,0.332,113.0,0.3,10.2,4.0,100.63190870385066,3.8518518518518516,,63.76571165632165,42.430559780400486,25.96153846153846,71.15384615384616,82.6923076923077,52.0,15.0,0
Willy Adames,SFG,11.700000000000001,26.1,0.196,0.263,0.225,0.318,0.421,0.321,108.0,0.9000000000000001,7.1,4.0,92.98335070368424,4.234567901234568,,62.99940568778523,49.129334523837315,26.239067055393587,82.21574344023324,76.0932944606414,52.0,26.0,0
